FUERZAS ARMADAS DE HONDURAS,,,,,,
EJÉRCITO,,,,,,
INVENTARIO DE ANTIVIRUS CORPORATIVO,,,,,,
No.,Grupo,Nombre del Equipo,Ultimo Usuario,Real-time Scan,Health Status,Agente Instalado
1,AJME-EQUIPOS,AJME827,FFAA\fcruz,On,Healthy,SI
2,AJME-EQUIPOS,EMEAJME01161,FFAA\mcarrillo,On,Healthy,SI
3,AJME-EQUIPOS,EMEAJME1150,FFAA\eymatamoros,On,Healthy,SI
4,AJME-EQUIPOS,EMEAJME1151,FFAA\spineda,On,Healthy,SI
5,AJME-EQUIPOS,EMEAJME11520,FFAA\jmolina,On,Healthy,SI
6,AJME-EQUIPOS,EMEAJME1153,FFAA\arcruz,On,Healthy,SI
7,AJME-EQUIPOS,EMEAJME1154,FFAA\acastro,On,Healthy,SI
8,AJME-EQUIPOS,EMEAJME1157,FFAA\amaldonado,On,Healthy,SI
9,AJME-EQUIPOS,EMEAJME1158,FFAA\jescoto,On,Healthy,SI
10,AJME-EQUIPOS,EMEAJME1160,FFAA\mnzelaya,On,Healthy,SI
11,CGE-EQUIPOS,EMECGEAYUD,FFAA\acge,On,Healthy,SI
12,COE-EQUIPOS,EMGECOE1214,FFAA\oficialcoe,On,Healthy,SI
13,CSICGE-EQUIPOS,EMECSI1385,FFAA\derivera,On,Healthy,SI
14,CSICGE-EQUIPOS,EMECSI1389,FFAA\nsanchez,On,Healthy,SI
15,CSICGE-EQUIPOS,EMECSI1392,FFAA\s3csicge,On,Healthy,SI
16,CSICGE-EQUIPOS,EMGECSI2029,FFAA\nsanchez,On,Questionable,SI
17,CSICGE-EQUIPOS,SCICGE1242,FFAA\nsanchez,On,Healthy,SI
18,DH-EQUIPOS,EMDDHHE577,FFAA\rcastro,On,Healthy,SI
19,DH-EQUIPOS,EMEDDHH2310,FFAA\obanegas,On,Critical,SI
20,DH-EQUIPOS,EMEDDHH2311,FFAA\rbautista,On,Healthy,SI
21,DH-EQUIPOS,EMEDDHH2312,FFAA\oargueta,On,Healthy,SI
22,DH-EQUIPOS,EMEDDHH2313,FFAA\dflamenco,On,Healthy,SI
23,E-1-EQUIPOS,EMEE11119,FFAA\wmondragon,On,Healthy,SI
24,E-1-EQUIPOS,EMEE11120,FFAA\devasquez,On,Healthy,SI
25,E-1-EQUIPOS,EMEE11124,FFAA\dcontreras,On,Healthy,SI
26,E-1-EQUIPOS,EMEE11129,FFAA\hmejia,On,Healthy,SI
27,E-1-EQUIPOS,EMEE11140,FFAA\rlopez,On,Critical,SI
28,E-1-EQUIPOS,EMEE11141,FFAA\fsalgado,On,Healthy,SI
29,E-2-EQUIPOS,EMEE21220,FFAA\dcanaca,On,Healthy,SI
30,E-3-EQUIPOS,EME31325,FFAA\layestas,On,Questionable,SI
31,E-3-EQUIPOS,EMEE031310,FFAA\nalonzo,On,Critical,SI
32,E-3-EQUIPOS,EMEE31310,FFAA\nalonzo,On,Critical,SI
33,E-3-EQUIPOS,EMEE31311,FFAA\enhernandez,On,Questionable,SI
34,E-3-EQUIPOS,EMEE31314,FFAA\wmolina,On,Healthy,SI
35,E-3-EQUIPOS,EMEE31315,FFAA\layestas,On,Healthy,SI
36,E-3-EQUIPOS,EMEE31317,FFAA\jelvir,On,Questionable,SI
37,E-3-EQUIPOS,EMEE31319,FFAA\e3cmc,On,Questionable,SI
38,E-3-EQUIPOS,EMEE31320,FFAA\ahernandez,On,Healthy,SI
39,E-3-EQUIPOS,EMEE31322,FFAA\iperez,On,Healthy,SI
40,E-3-EQUIPOS,EMEE31323,FFAA\jelvir,On,Healthy,SI
41,E-3-EQUIPOS,EMEE31326,FFAA\cmce,On,Questionable,SI
42,E-3-EQUIPOS,EMEE31327,FFAA\dfvasquez,On,Healthy,SI
43,E-3-EQUIPOS,EMEE31330,FFAA\mperalta,On,Healthy,SI
44,E-4-EQUIPOS,EMEE41253,FFAA\gmartinez,On,Healthy,SI
45,E-4-EQUIPOS,EMEE41254,FFAA\ypineda,On,Healthy,SI
46,E-4-EQUIPOS,EMEE41352,FFAA\alopez,On,Healthy,SI
47,E-4-EQUIPOS,EMEE41353,FFAA\jjraudales,On,Healthy,SI
48,E-4-EQUIPOS,EMEE41355,FFAA\oflores,On,Questionable,SI
49,E-4-EQUIPOS,EMEE41356,FFAA\jjraudales,On,Questionable,SI
50,E-4-EQUIPOS,EMEE41357,FFAA\ncenteno,On,Critical,SI
51,E-4-EQUIPOS,EMEE41359,FFAA\wfunez,On,Healthy,SI
52,E-4-EQUIPOS,EMEE41360,FFAA\hzambrano,On,Questionable,SI
53,E-4-EQUIPOS,EMEE41362,FFAA\julopez,On,Healthy,SI
54,E-4-EQUIPOS,EMEE41374,FFAA\oflores,On,Healthy,SI
55,E-4-EQUIPOS,EMEE41375,FFAA\rflores,On,Healthy,SI
56,E-4-EQUIPOS,EMEE414107,FFAA\bsolorzano,On,Healthy,SI
57,E-5-EQUIPOS,EMEE5560,FFAA\lxmurillo,On,Healthy,SI
58,E-5-EQUIPOS,EMEE5561,FFAA\emorazan,On,Healthy,SI
59,E-5-EQUIPOS,EMEE5565,FFAA\eramos,On,Healthy,SI
60,E-5-EQUIPOS,EMEE5566,FFAA\dsilva,On,Healthy,SI
61,E-6-EQUIPOS,DESKTOP-JHFEU7C,DESKTOP-JHFEU7C\USUARIO,On,Healthy,SI
62,E-6-EQUIPOS,EMEE61250,FFAA\radioe6,On,Healthy,SI
63,E-6-EQUIPOS,EMEE61255,FFAA\rssilva,On,Questionable,SI
64,E-6-EQUIPOS,EMEE61611,FFAA\ssaravia,On,Healthy,SI
65,E-6-EQUIPOS,EMEE61612,FFAA\sgiron,On,Healthy,SI
66,E-6-EQUIPOS,EMEE61613,FFAA\rssilva,On,Healthy,SI
67,E-6-EQUIPOS,EMGEE61614,FFAA\seccionradio2,On,Healthy,SI
68,E-8-EQUIPOS,EMEE41631,FFAA\eclinica,On,Healthy,SI
69,IGE-EQUIPOS,EMEIGE540,FFAA\yoliva,On,Healthy,SI
70,IGE-EQUIPOS,EMEIGE555,FFAA\scastillo,On,Healthy,SI
71,IGE-EQUIPOS,EMEIGE562,FFAA\jjraudales,On,Healthy,SI
72,IGE-EQUIPOS,EMEIGE712,FFAA\ige,On,Critical,SI
73,IT-EQUIPOS,EMEE61616,FFAA\hduron,On,Healthy,SI
74,IT-EQUIPOS,EMEE61617,FFAA\devalladares,On,Critical,SI
75,IT-EQUIPOS,EMEE61619,EMEE61619\UAE,On,Questionable,SI
76,IT-EQUIPOS,EMEE61638,FFAA\dmrodriguez,On,Healthy,SI
77,JEME-EQUIPOS,EMEE11133,FFAA\jlcerrato,On,Questionable,SI
78,JEME-EQUIPOS,EMEJEME530,FFAA\amarriaga,On,Healthy,SI
79,JEME-EQUIPOS,EMEJEME611,FFAA\hnavarro,On,Healthy,SI
80,JEME-EQUIPOS,EMEJEME614,FFAA\sjjeme,On,Healthy,SI
81,PGE-EQUIPOS,EMEPGE0821,FFAA\fzepeda,On,Healthy,SI
82,PGE-EQUIPOS,EMEPGE0822,FFAA\ynvasquez,On,Healthy,SI
83,PGE-EQUIPOS,EMEPGE0840,FFAA\npozo,On,Healthy,SI
84,PGE-EQUIPOS,EMEPGE810,FFAA\nbetancourth,On,Healthy,SI
85,PGE-EQUIPOS,EMEPGE828,FFAA\ncabrera,On,Healthy,SI
86,PGE-EQUIPOS,EMEPGE831,FFAA\tglopez,On,Healthy,SI
87,PGE-EQUIPOS,EMEPGE837,FFAA\smanzanares,On,Healthy,SI
88,PGE-EQUIPOS,EMEPGE869,FFAA\eflores,On,Healthy,SI
89,PGE-EQUIPOS,EMEPGE885,FFAA\sjmaradiaga,On,Healthy,SI
90,PGE-EQUIPOS,EMEPGE892,FFAA\mvarela,On,Questionable,SI
91,PGE-EQUIPOS,EMGEPGE812,FFAA\fflores,On,Healthy,SI
92,PGE-EQUIPOS,EMGEPGE834,FFAA\eelvir,On,Healthy,SI
93,PGE-EQUIPOS,EMGEPGE837,FFAA\mjramos,On,Healthy,SI
94,PGE-EQUIPOS,EMGEPGE838,FFAA\amolina,On,Healthy,SI
95,RRPP-EQUIPOS,EMERRPP1011,FFAA\lylopez,On,Healthy,SI
96,RRPP-EQUIPOS,EMERRPP583,FFAA\cpcaceres,On,Healthy,SI
97,RRPP-EQUIPOS,EMERRPP590,FFAA\nsilva,On,Questionable,SI
